Filename,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
DB00014,17,0,1,0,10,36,1,-2,1269.425,9.758,1711.304,763.423,615.961,331.92,0,3574.749,11.5,25.7,0.0266355,0.0509278,0.660696,116.962,42.018,72.507,55.612,-1.219,-4.832,-8.362,5.139,0.001,-11.014,0.003,-10.309,8.054,-0.279,19,-2.541,1,0,0,150.141,553.472,32,3,30,0,30,7,91,2,0
DB00035,19,0,1,0,11,36,1,-2,1069.218,7.914,1285.876,442.392,529.065,277.762,36.657,2764.263,12.5,26.25,0.0226549,0.0721747,0.7407737,84.009,32.31,62.691,57.225,-6.08,2,-2.868,8.067,0.004,-7.944,0.035,-8.898,8.212,1.814,18,-4.626,1,0,0,171.456,484.397,26,3,17,0,17,4,74,2,0.135
DB00091,12,0,0,0,11,38,0,-2,1202.625,12.296,1416.218,1302.996,98.889,14.334,0,3419.076,1,28.7,0.0442183,0.0202652,0.7750101,106.415,28.548,53.387,30.669,0.674,-1.04,-4.631,9.877,298.562,-2.824,571.731,0.357,9.11,-0.304,14,-3.591,1,49.274,0,73.254,284.617,23,2,0,0,0,0,85,1,249247.519
DB00114,0,0,0,2,0,7,1,-2,247.144,2.183,430.43,137.306,245.157,43.83,4.137,713.862,2,7.75,0.0066768,0.0254632,0.8974392,18.339,7.458,13.069,11.741,0.11,-0.936,-1.763,0.214,3.008,-1.878,1.586,-5.211,9.664,1.132,4,-1.267,2,36.147,0,0,136.875,7,0,6,0,6,0,16,1,0.176
DB00119,9,0,0,1,0,1,2,-1,88.063,1.305,253.911,87.617,166.294,0,0,354.08,1,4,0.004808,0.0157535,0.9532731,7.374,2.974,5.544,6.645,-0.579,0.203,0.004,-0.481,66.456,-0.717,33.58,-4.488,10.941,0.52,0,-1.129,2,56.174,0,0,80.451,3,0,0,0,0,0,6,0,3.249
DB00120,0,1,0,1,0,4,0,-1,165.191,1.591,383.317,44.252,148.053,191.013,0,606.948,3,3,0.0041685,0.0135557,0.904428,17.392,6.953,11.433,9.414,-1.156,-0.854,-0.655,-2.908,24.684,-0.486,12.737,-5.254,9.532,-0.206,4,-0.72,2,45.096,0,0,74.294,3,0,6,0,6,0,12,0,0.129
DB00121,0,0,0,1,0,5,0,-2,244.308,5.123,486.619,237.418,215.335,0,33.866,799.911,3,4.5,0.0328115,0.0160171,0.8563873,22.648,7.979,14.538,10.09,1.288,-3.048,-2.559,-2.048,22.776,-1.612,16.179,-5.008,9.215,-0.218,1,-0.497,2,58.781,0,0,108.498,5,0,8,0,8,4,16,1,0.004
DB00123,3,2,0,1,0,7,0,-1,146.189,3.623,374.841,160.56,214.281,0,0,579.803,5,4,0.022639,0.0238615,0.8970955,12.555,6.165,13.343,11.798,-3.207,1.311,1.303,-2.842,1.45,-0.837,0.658,-8.922,9.599,-0.772,5,-1.116,1,11.056,0,0,100.987,4,0,0,0,0,0,10,1,0.004
DB00126,1,0,0,0,0,6,0,-2,176.126,4.95,349.194,80.621,258.17,10.403,0,544.531,4,7.9,0.0449889,0.0452471,0.9235217,11.885,6.2,14.385,14.702,-1.851,-0.64,-0.761,-2.819,35.292,-1.816,13.322,-5.665,9.742,0.615,5,-0.946,2,43.807,0,0,129.427,6,0,5,0,5,1,12,0,0.088
DB00128,3,1,0,2,0,4,0,-2,133.104,1.356,308.168,52.346,255.822,0,0,458.568,3,4,0.0040102,0.0224819,0.933211,9.63,5.035,9.531,9.652,-3.879,-0.708,0.345,0.276,0.594,-1.237,0.289,-7.913,9.875,-0.273,4,-1.192,1,0.186,0,0,125.938,5,0,0,0,0,0,9,1,0.003
DB00129,3,2,0,1,0,6,0,-1,132.162,1.408,343.082,128.324,214.758,0,0,521.266,5,4,0.0038031,0.0260703,0.9130048,10.854,5.681,12.556,11.945,-3.494,1.529,1.442,-2.584,1.435,-0.719,0.651,-9.027,9.473,-0.566,5,-1.148,1,9.293,0,0,101.792,4,0,0,0,0,0,9,1,0.004
DB00130,3,1,0,1,1,5,0,-2,146.146,5.477,344.314,79.034,265.28,0,0,524.935,5,5.5,0.0571484,0.0357184,0.9140012,11.643,6.088,14.66,16.751,-4.221,1.18,1.029,-0.468,0.963,-1.456,0.801,-7.991,9.767,-0.582,5,-1.399,1,1.94,0,37.32,129.056,5,0,0,0,0,0,10,1,0.023
DB00131,1,0,0,2,0,8,1,-2,347.224,5.417,523.397,85.323,330.384,103.245,4.445,920.614,6,14.1,0.0318688,0.0659878,0.8744171,26.538,11.288,26.001,24.841,-1.555,-1.656,-1.691,-0.441,0.468,-2.789,0.213,-6.477,8.534,0.289,4,-1.389,1,0,0,0,185.798,12,2,14,0,14,4,23,1,0.003
DB00132,1,0,0,1,0,13,0,-2,278.434,2.15,620.505,452.004,109.305,59.196,0,1108.802,1,2,0.004167,0.0032232,0.8349416,30.438,9.927,11.751,2.925,5.227,-4.733,-4.028,-2.678,230.653,-1.265,128.891,-2.077,9.883,-0.784,5,0.544,3,86.882,0,0,51.664,2,1,0,0,0,0,20,0,0.043
DB00134,1,1,0,1,0,5,0,-1,149.207,3.082,364.209,169.198,151.819,0,43.193,558.355,3,3.5,0.0170135,0.0166448,0.9003694,12.981,5.37,10.215,8.382,-1.587,-0.676,0.051,-2.063,22.735,-0.482,20.094,-5.9,8.905,-0.227,3,-0.903,2,41.934,0,0,74.649,3,0,0,0,0,0,9,1,0.051
DB00135,0,1,0,1,0,5,0,-2,181.191,1.862,398,43.527,203.385,151.089,0,632.902,4,3.75,0.005477,0.0188442,0.8957211,17.407,7.487,13.475,11.537,-1.882,-0.704,-0.684,-2.859,7.374,-1.029,3.451,-6.318,9.014,-0.218,5,-0.843,2,31.457,0,0,97.092,4,0,6,0,6,0,13,1,0.017
DB00136,1,0,0,0,0,11,0,-2,416.643,3.51,790.349,637.284,122.039,31.026,0,1477.563,3,4.15,0.0083387,0.0090947,0.7937977,46.211,13.761,21.436,8.718,5.609,-6.935,-5.923,-5.017,689.614,-1.391,331.057,-2.603,8.729,0.142,6,1.17,1,100,0,0,63.841,3,1,15,0,15,12,30,1,0
DB00137,10,0,0,0,0,20,0,-2,568.881,1.218,1157.049,889.604,99.432,168.012,0,2135.312,2,3.4,0.0006942,0.0041557,0.6930868,68.064,21.634,26.531,6.189,10.663,-12.719,-9.573,-7.299,1129.763,-2.022,564.447,-0.84,7.912,1.082,11,2.869,1,100,0,0,44.777,2,2,12,0,12,8,42,2,0
DB00138,3,2,0,2,0,9,1,-2,240.292,5.775,429.363,79.245,283.9,0,66.217,711.193,6,7,0.0468896,0.0399346,0.8974267,16.529,8.741,18.76,16.404,-3.111,0.68,0.653,-1.029,0.08,-1.37,0.085,-10.013,9.555,2.154,6,-1.271,1,0,0,0,147.74,6,1,0,0,0,0,14,1,0
DB00139,6,0,0,2,0,3,0,-2,118.089,3.252,293.439,77.171,216.268,0,0,427.516,2,4,0.0247377,0.0192778,0.9352949,9.029,4.196,7.994,8.104,-0.575,-0.218,-0.489,1.036,5.652,-1.266,2.976,-5.217,11.456,-0.615,2,-1.194,2,37.041,0,0,102.117,4,0,0,0,0,0,8,1,0.344
DB00140,0,0,0,0,0,9,0,-2,376.368,8.775,651.345,275.348,296.626,79.371,0,1140.805,5,12.3,0.0675015,0.0422259,0.8106403,34.48,12.594,26.423,21.297,-0.839,-2.868,-2.963,-4.975,15.24,-2.988,5.375,-5.843,9.089,1.633,6,-0.835,2,43.208,0,0,170.097,10,0,14,0,14,0,27,1,0.001
DB00141,2,0,0,0,1,10,0,-2,221.21,4.07,453.625,196.107,257.518,0,0,739.825,3.25,9.55,0.0223909,0.0379532,0.8720758,17.033,7.571,15.427,17.252,-2.228,0.547,0.059,-2.228,18.212,-2.297,13.528,-5.305,10.234,-0.051,5,-1.489,2,36.457,0,36.871,153.663,7,0,0,0,0,0,15,1,3.856
DB00142,2,1,0,2,0,5,0,-2,147.13,1.291,340.495,80.575,259.92,0,0,518.127,4,5,0.0032177,0.029369,0.9162449,11.371,5.771,12.079,11.987,-3.029,-0.012,0.326,0.002,0.543,-1.404,0.262,-7.892,9.852,-0.405,4,-1.215,1,4.471,0,0,126.207,5,0,0,0,0,0,10,1,0.002
DB00143,2,1,0,2,2,11,1,-2,307.321,5.954,573.548,176.333,322.029,0,75.185,955.011,4.5,8,0.0371235,0.0295887,0.8177133,25.002,10.796,19.929,19.177,-2.97,-0.323,0.013,1.156,0.054,-2.727,0.156,-8.461,9.658,0.344,7,-1.73,1,0,0,51.572,195.46,9,1,0,0,0,0,20,2,0.001
