molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm,Label
mol_1,0,0,0,1,0,3,0,-1,282.222,5.296,495.035,0.671,108.867,269.315,116.183,820.208,1,2.5,0.0341983,0.0050501,0.8560088,27.316,7.887,12.59,6.789,4.833,-4.389,-4.637,-3.339,232.869,-0.323,563.842,-2.289,8.513,0.856,3,0.076,3,100,116.183,0,67.192,4,0,12,0,12,0,20,0,0.056,1
mol_2,0,0,0,1,0,6,1,-1,337.418,1.043,664.718,348.885,108.418,207.416,0,1158.696,1,2.75,0.0009387,0.0041371,0.802615,38.345,11.44,15.238,6.317,5.407,-6.409,-5.726,-3.908,235.167,-0.92,131.619,-2.211,7.989,0.446,6,0.825,1,88.089,0,0,68.134,4,1,15,0,15,2,25,1,0.001,1
mol_3,0,0,0,0,0,6,1,-1,336.433,3.3,663.272,346.248,112.231,204.792,0,1157.819,2,3.25,0.0094048,0.0069296,0.803959,38.285,11.665,17.077,8.279,4.437,-5.997,-5.403,-5.681,854.302,-0.956,417.282,-2.29,8.128,0.257,6,0.786,3,100,0,0,70.668,4,0,15,0,15,2,25,1,0.002,1
mol_4,1,0,0,1,0,7,1,-2,362.427,5.172,692.205,341.743,165.182,185.281,0,1217.64,1,4.25,0.0219711,0.0061398,0.7966659,39.851,12.263,17.067,7.876,4.731,-7.182,-6.65,-3.898,68.09,-1.594,34.474,-3.239,8.327,0.688,5,0.639,1,87.456,0,0,93.587,5,0,15,0,15,2,27,1,0,1
mol_5,1,0,0,0,0,7,1,-2,361.443,7.813,697.282,342.877,166.136,188.269,0,1225.24,2,4.75,0.0498154,0.0096339,0.7941525,40.183,12.596,19.29,9.872,3.874,-6.964,-6.359,-5.761,263.289,-1.615,116.925,-3.246,8.479,0.795,6,0.655,1,92.947,0,0,96.017,5,0,15,0,15,2,27,1,0,1
mol_6,1,0,0,0,0,7,1,-2,375.469,8.256,714.042,444.269,117.564,152.209,0,1275.016,1,4.75,0.053465,0.0066523,0.7963762,41.831,12.243,18.187,7.872,4.66,-7.385,-6.717,-5.553,760.391,-1.094,367.93,-2.478,8.352,0.693,5,0.855,1,100,0,0,81.906,5,0,15,0,15,2,28,1,0,1
mol_7,1,0,0,0,0,7,1,-1,389.496,5.983,744.07,490.727,102.489,150.854,0,1337.026,0,5.25,0.0267745,0,0.7888196,44.3,12.511,17.409,6.86,4.928,-7.429,-6.679,-5.669,1056.807,-0.956,525.154,-2.205,8.182,0.499,5,0.798,1,100,0,0,72.181,5,0,15,0,15,2,29,1,0,1
mol_8,1,0,0,1,0,7,1,-2,376.454,5.608,704.2,390.041,136.402,177.757,0,1258.04,1,5.25,0.0250026,0.0074553,0.8003226,41.396,12.385,18.062,8.643,4.756,-7.017,-6.538,-3.803,127.645,-1.278,67.996,-2.735,9.147,0.869,4,0.546,1,92.489,0,0,82.866,5,0,15,0,15,2,28,1,0,1
mol_9,1,0,0,0,0,7,1,-2,376.454,5.193,746.455,439.899,118.873,187.682,0,1298.194,0,4.25,0.0207746,0,0.7710006,43.097,12.589,16.412,6.243,5.092,-7.998,-6.866,-6.132,738.965,-1.192,356.737,-2.377,8.225,0.6,5,0.953,1,95.144,0,0,80.091,5,1,15,0,15,2,28,1,0,1
mol_10,1,0,0,0,0,8,2,-2,377.442,9.468,712.247,341.798,182.756,187.694,0,1252.972,2,6.45,0.0715438,0.0128069,0.7891546,40.646,12.989,20.701,11.471,3.252,-6.512,-6.047,-5.839,183.159,-1.875,78.987,-3.458,8.516,0.818,5,0.376,1,86.485,0,0,107.305,6,0,15,0,15,2,28,1,0,1
mol_12,1,0,0,0,0,7,1,-2,360.455,6.797,700.853,404.082,112.565,184.206,0,1242.573,0,4.25,0.0371758,0,0.7975405,40.838,11.894,15.915,6.067,4.769,-7.133,-6.526,-5.686,848.102,-1.038,414.01,-2.273,8.426,0.753,5,0.791,1,100,0,0,71.452,4,0,15,0,15,2,27,1,0,1
mol_13,0,0,0,1,0,8,1,-2,367.444,3.238,672.178,372.823,146.744,152.611,0,1204.944,2,4.45,0.0087001,0.0093625,0.8146886,38.388,11.983,17.829,8.921,4.483,-5.455,-5.59,-3.451,101.842,-1.393,53.269,-2.918,7.909,0.426,7,0.461,3,89.134,0,0,89.216,5,0,15,0,15,2,27,1,0.002,1
mol_14,0,0,0,0,0,8,1,-2,366.459,3.49,693.952,378.571,142.095,173.285,0,1236.964,3,4.95,0.0098477,0.0123548,0.8030464,39.867,12.642,20.058,11.039,3.822,-5.504,-5.285,-5.545,445.051,-1.388,206.216,-2.76,8.317,0.123,7,0.526,3,96.727,0,0,92.95,5,0,15,0,15,2,27,1,0.002,1
